year;id;extends;predecessors;name;developers;companies;wiki;paradigm;;;
1995;racket;Scheme, Lisp;;Racket;Matthew Flatt;Rice University;Racket_(programming_language);;;;
1995;ruby;Smalltalk, Perl;;Ruby;Yukihiro Matsumoto;;Ruby_(programming_language);;;;
1995;coldfusion;;;ColdFusion;JJ Allaire;Adobe;ColdFusion;scripting/oo;dynamic;Web development;www.adobe.com
1995;delphi;;;Delphi;Anders Hejlsberg;Borland;Delphi_(software);object-oriented;static;Windows Desktop applications;www.embarcadero.com
1995;jess;;;Jess;Ernest Friedman-Hill;Sandia National Labs;Jess_(programming_language);rule-based;dynamic;Expert systems in Java;https://jessrules.com
1995;limbo;;;Limbo;Sean Dorward;Bell Labs;Limbo_(programming_language);concurrent;static;Inferno OS development;www.vitanuova.com
1995;lotusscript;;;LotusScript;Lotus;IBM,Lotus;LotusScript;object-oriented;dynamic;Lotus Notes/Domino automation;https://www.hcl-software.com
1995;mheg5;;;MHEG-5;ISO,IEC;ISO,IEC;MHEG-5;multimedia;strong;Interactive TV/Minitel;en.wikipedia.org
1995;mivascript;;;MIVA Script;MIVA;Miva Inc.;MIVA_Script;scripting;dynamic;E-commerce web development;https://www.miva.com
1995;msl;;;MSL;Khaled Mardam-Bey;mIRC Co. Ltd.;MIRC_scripting_language;scripting;dynamic;mIRC client automation;https://www.mirc.com
1995;visualdialogscript;;;Visual DialogScript;Julian Moss;Julian Moss;Visual_DialogScript;scripting;dynamic;Simple Windows tools;en.wikipedia.org
1995;visualfoxpro;;;Visual FoxPro;Microsoft;Microsoft;Visual_FoxPro;object-oriented/database-driven;dynamic;Windows database apps;https://learn.microsoft.com
1995;visualobjects;;;Visual Objects;Computer Associates;CA Technologies;Visual_Objects;object-oriented/xbase;dynamic;Enterprise xBase development;en.wikipedia.org
1996;css;SGML;;CSS;Håkon Wium Lie, Bert Bos;;;;;;
1996;curl;Lisp, C++, Tcl/Tk, TeX, HTML;;Curl;David Kranz, Steve Ward, Chris Terman;MIT;Curl_(programming_language);;;;
1996;lasso;;;Lasso;;Blue World Communications;Lasso_(programming_language);;;;
1996;netrexx;REXX;;NetRexx;Mike Cowlishaw;;NetRexx;;;;
1996;ocaml;Caml Light, Standard ML;;OCaml;;INRIA;OCaml;;;;
1996;perldatalanguagepdl;APL, Perl;;Perl Data Language (PDL);Karl Glazebrook, Jarle Brinchmann, Tuomas Lukka, Christian Soeller;;;;;;
1996;puredata;Max;;Pure Data;Miller Puckette;;Pure_Data;;;;
1996;vbscript;Visual Basic;;VBScript;;Microsoft;;;;;
1996;curry;;;Curry;Michael Hanus;Kiel University;Curry_(programming_language);functional-logic;static;Research;http://www.curry-lang.org
1996;jade;;;JADE;;Jade Software Corporation;JADE_(programming_language);object-oriented/db;static;Enterprise application development;https://www.jadeworld.com
1996;joule;;;Joule;;Agorics Inc;Joule_(programming_language);distributed/object-oriented;strong;Secure distributed computing;www.erights.org
1996;jscript;;;JScript;;Microsoft;JScript;scripting;dynamic;Web (Internet Explorer)/WSH;https://learn.microsoft.com
1996;lilypond;;;LilyPond;Nienhuys,Nieuwenhuizen;GNU Project;LilyPond;domain-specific;static;Music engraving/notation;https://lilypond.org
1996;maxscript;;;MaxScript;John Wainwright;Autodesk (Kinetix);Autodesk_3ds_Max;scripting;dynamic;3ds Max automation;help.autodesk.com
1996;nasm;;;NASM;Simon Tatham;NASM Project;Netwide_Assembler;assembly;low-level;x86 software development;https://www.nasm.us
1996;netdata;;;Net.Data;IBM;IBM;Net.Data;macro-based;dynamic;Web-to-DB2 middleware;https://www.ibm.com
1996;pizza;;;Pizza;Odersky,Wadler;University of Karlsruhe;Pizza_(programming_language);object-oriented/functional;static;Generics for Java;http://pizzacompiler.net
1996;quakec;;;QuakeC;John Carmack;id Software;QuakeC;procedural;static;Quake engine game logic;https://quakewiki.org
1996;supercollider;;;SuperCollider;James McCartney;SuperCollider Team;SuperCollider;audio-scripting;dynamic;Algorithmic sound composition;https://supercollider.github.io
1996;visualj;;;Visual J++;Microsoft;Microsoft;Visual_J%2B%2B;object-oriented (java);static;Windows development in Java;en.wikipedia.org
1996;xojo;;;Xojo;Xojo Inc;Xojo Inc;Xojo;object-oriented/rad;static;Cross-platform app development;https://www.xojo.com
1997;componentpascal;Oberon-2;;Component Pascal;;Oberon Microsystems;Component_Pascal;;;;
1997;e;Joule, Original-E;;E;Mark S. Miller;;E_(programming_language);;;;
1997;ecmascript;JavaScript;;ECMAScript;;ECMA TC39-TG1;ECMAScript;;;;
1997;fscript;Smalltalk, APL, Objective-C;;F-Script;Philippe Mougin;;;;;;
1997;islisp;Common Lisp;;ISLISP;;ISO Standard ISLISP;ISLISP;;;;
1997;pico;Scheme;;Pico;;Free University of Brussels;Pico_(programming_language);;;;
1997;rebol;Self, Forth, Lisp, Logo;;REBOL;Carl Sassenrath;Rebol Technologies;REBOL;;;;
1997;squeak;Smalltalk-80, Self;;Squeak;Alan Kay;Apple Computer;Squeak;;;;
1997;tea;Java, Scheme, Tcl;;Tea;Jorge Nunes;;Tea_(programming_language);;;;
1997;almazero;Modula-2;;Alma-0;Krzysztof Apt, Marc Bezem, Jacob Brunekreef, Vincent Partington, Andrea Schaerf;Centrum Wiskunde & Informatica;Alma-0;constraint, imperative, logic;static;;
1997;cachobjectscript;;;Caché ObjectScript;InterSystems Corporation;InterSystems;Cach%C3%A9_ObjectScript;object-oriented, procedural, functional, imperative;dynamic, weak;;community.intersystems.com
1997;dinkc;;;DinkC;Seth Robinson;Robinson Technologies;Dink_Smallwood#Modification;scripting (game);dynamic;Dink Smallwood modding;https://www.rtsoft.com
1997;jython;;;Jython;Jim Hugunin;Python Software Foundation;Jython;object-oriented/scripting;dynamic;Python implementation for JVM;https://www.jython.org
1997;modelica;;;Modelica;Modelica Assoc;Modelica Association;Modelica;object-oriented/physical;static;System-level simulation;https://www.modelica.org
1997;stateflow;;;Stateflow;MathWorks;MathWorks;Stateflow;visual (state-based);static;Event-driven logic design;www.mathworks.com
1998;actionscript;ECMAScript;;ActionScript;Gary Grossman;;ActionScript;;;;
1998;logtalk;Prolog;;Logtalk;Paulo Moura;University of Coimbra;Logtalk;;;;
1998;purebasic;BASIC;;PureBasic;Frederic Laboureur;Fantaisie Software;;;;;
1998;standardc;C++, Standard C, C;;Standard C++;;ANSI,ISO Standard C++;;;;;
1998;unrealscript;C++, Java;;UnrealScript;Tim Sweeney;Epic Games;UnrealScript;;;;
1998;xojorealbasicatthetime;Visual Basic;;Xojo (REALbasic at the time);Andrew Barry;Xojo;;;;;
1998;xsltxpath;DSSSL;;XSLT (+ XPath);James Clark;W3C;;;;;
1998;cayenne;;;Cayenne;Erik Meijer, Maarten van der Poel, Mark Tullsen;Utrecht University;Cayenne_(programming_language);functional;dependent;;https://dl.acm.org/doi/10.1145/289423.289451
1998;cryptol;;;Cryptol;;NSA,Galois Inc;Cryptol;functional;strong;Cryptography;https://www.cryptol.net
1998;gameorientedassemblylisp;;;Game Oriented Assembly Lisp;Andy Gavin;Naughty Dog;Game_Oriented_Assembly_Lisp;lisp/low-level;dynamic;Game development (PlayStation 2);
1998;jal;;;JAL;Wouter van Ooijen;Wouter van Ooijen;JAL_(compiler);procedural;static;PIC microcontroller programming;www.casadejacob.com
1998;legoscript;;;Legoscript;LEGO;LEGO,MIT;Legoscript;visual/block-based;untyped;LEGO Mindstorms RCX control;https://www.lego.com
1998;notquitec;;;Not Quite C;Dave Baum;Dave Baum;Not_Quite_C;procedural (c-like);static;LEGO RCX robotics;bricxcc.sourceforge.net
1998;qcl;;;Quantum Computation Language;Bernhard Omer;TU Wien;Quantum_Computation_Language;quantum;static;Quantum computer simulation;tph.tuwien.ac.at
1998;sac;;;SA-C;CSU,Riverside;Colorado State University;SA-C_(programming_language);dataflow;static;FPGA programming;en.wikipedia.org_(programming_language)
1998;xpp;;;X++;Microsoft;Microsoft;X%2B%2B;object-oriented/sql;static;Dynamics 365 ERP;https://learn.microsoft.com
1998;xslt;;;XSLT;James Clark;W3C;XSLT;functional;dynamic;XML data transformation;www.w3.org
1999;c99;C90;;C99;;C99 ISO,IEC 9899:1999;;;;;
1999;gambas;Visual Basic, Java;;Gambas;Benoît Minisini;;;;;;
1999;gamemakerlanguagegml;Game Maker;;Game Maker Language (GML);Mark Overmars;;;;;;
1999;harbour;dBase, Clipper;;Harbour;Antonio Linares;;Harbour_(software);;;;
1999;advpl;xBase, dBase;Advanced Protheus Language;AdvPL;;TOTVS S.A.;AdvPL;;;ERP;
1999;autoit;;;AutoIt;Jonathan Bennett;AutoIt Team;AutoIt;procedural;dynamic;;www.autoitscript.com
1999;beanshell;;;BeanShell;Pat Niemeyer;Open source;BeanShell;javalike;dynamic;;www.beanshell.org
1999;cobolscript;;;CobolScript;Matthew Dean;Deskware;CobolScript;procedural;dynamic;Web apps (legacy);http://www.deskware.com
1999;gamemakerlanguage;;;Game Maker Language;Mark Overmars;YoYo Games;Game_Maker_Language;scripting (event-driven);dynamic;Game development (GameMaker);https://gamemaker.io
1999;netlogo;;;NetLogo;Uri Wilensky;Northwestern University;NetLogo;agent-based;dynamic;Social science simulations;ccl.northwestern.edu
1999;nullsoft;;;Nullsoft Scriptable Install System;Justin Frankel;Nullsoft;Nullsoft_Scriptable_Install_System;scripting (installer);untyped;Windows installation scripts;https://nsis.sourceforge.io
1999;pascalscript;;;Pascal Script;Carlo Kok;RemObjects;Pascal_Script;scripting (pascal);static;Inno Setup/Automation;https://www.remobjects.com
1999;xotcl;;;XOTcl;Neumann,Zdun;Vienna University;XOTcl;object-oriented (tcl);dynamic;Tcl language extension;http://www.xotcl.org
2000;csharp;C, C++, Java, Delphi, Modula-2;;C#;Anders Hejlsberg;Microsoft;C_Sharp_(programming_language);;;;
2000;darkbasic;;;DarkBASIC;;The Game Creators;;;;;
2000;joinjava;Java;;Join Java;G Stewart von Itzstein;;Join_Java;;;;
2000;commonintermediatelanguage;;;Common Intermediate Language;;Microsoft;Common_Intermediate_Language;object-oriented;strong;Bytecode for .NET;https://learn.microsoft.com
2000;highlevelassembly;;;High Level Assembly;Randall Hyde;Plantation Productions;High_Level_Assembly;assembly/oo;low-level;Assembly education/Systems;www.plantation-productions.com
2001;aspectj;Java, Common Lisp;;AspectJ;Gregor Kiczales;Xerox PARC;;;;;
2001;d;C, C++, C#, Java;;D;Walter Bright;Digital Mars;D_(programming_language);;;;
2001;gdscriptgds;Godot;;GDScript (GDS);Juan Linietsky, Ariel Manzur;OKAM Studio;;;;;
2001;joy;FP, Forth;;Joy;Manfred von Thun;;Joy_(programming_language);;;;
2001;processing;Java, C, C++;;Processing;Casey Reasm Benjamin Fry;;Processing_(programming_language);;;;
2001;shakespeareprogramminglanguage;;;Shakespeare Programming Language;Jon Åslund, Karl Hasselström;;;;;;
2001;visualbasicnet;Visual Basic;;Visual Basic .NET;;Microsoft;;;;;
2001;averest;;;Averest;Klaus Schneider;TU Kaiserslautern;Averest;reactive;static;;www.averest.org
2001;executableuml;;;Executable UML;Mellor,Balcer;Obj. Prog. Systems;Executable_UML;modeling (uml);static;Model-driven code generation;www.uml.org
2001;livecode;;;LiveCode;Kevin Miller;LiveCode Ltd.;LiveCode;natural-language;dynamic;Multi-platform app development;https://livecode.com
2001;tom;;;Tom;INRIA;INRIA;Tom_(pattern_matching_language);matching/extension;static;Pattern matching for Java/C;http://tom.loria.fr
2001;xbl;;;XBL;Mozilla;Mozilla;XBL;declarative (xml);untyped;Firefox UI components (legacy);en.wikipedia.org
2002;gosu;GScript;;Gosu;;Guidewire Software;Gosu_(programming_language);;;;
2002;io;Self, NewtonScript, Lua;;Io;Steve Dekorte;;Io_(programming_language);;;;
2002;scratch;Logo, Smalltalk, Squeak, E-Toys, HyperCard, AgentSheets, StarLogo, Tweak;;Scratch;Mitchel Resnick, John Maloney, Natalie Rusk, Evelyn Eastmond, Tammy Stern, Amon Millner, Jay Silver, Brian Silverman;;Scratch_(programming_language);;;;
2002;adenine;!!!;;Adenine (Haystack);;MIT;Adenine_(programming_language);;;RDF based;
2002;cyclone;;;Cyclone;;Cornell,AT&T Labs;Cyclone_(programming_language);safe-c;static;Systems programming;http://cyclone.thelanguage.org
2002;faust;;;FAUST;Yann Orlarey;GRAME;FAUST_(programming_language);functional/dsp;static;Real-time audio processing;https://faust.grame.fr
2002;highlevelshaderlanguage;;;High Level Shader Language;Microsoft;Microsoft;High_Level_Shader_Language;shader/parallel;static;Graphics/Game shaders (DirectX);https://learn.microsoft.com
2002;hollywood;;;Hollywood;Andreas Falkenhahn;Airsoft Softwair;Hollywood_(programming_language);scripting/multi;dynamic;Multimedia apps (Amiga/PC);https://www.hollywood-mal.com
2002;jass;;;JASS;;Blizzard Entertainment;JASS_(scripting_language);scripting;static;Warcraft III game modding;https://www.hiveworkshop.com
2002;jscriptnet;;;JScript .NET;;Microsoft;JScript_.NET;object-oriented;static;.NET scripting;https://learn.microsoft.com
2002;jsharp;;;J#;;Microsoft;J_Sharp;object-oriented;static;J++ to .NET transition;https://learn.microsoft.com
2002;nwscript;;;NWScript;BioWare;BioWare;NWScript;procedural (c-like);static;Neverwinter Nights scripting;http://nwn.bioware.com
2003;boo;Python, C#;;Boo;Rodrigo B. de Oliveira;;Boo_(programming_language);;;;
2003;c03;C++, Standard C, C;;C++03;;C++ ISO,IEC 14882:2003;;;;;
2003;factor;Joy, Forth, Lisp;;Factor;Slava Pestov;;Factor_(programming_language);;;;
2003;nemerle;C#, ML, Haskell;;Nemerle;;University of Wrocław;Nemerle;;;;
2003;nix;Miranda/SASL, Haskell;;Nix;Eelco Dolstra;;Nix_(package_manager);;;;
2003;scala;Smalltalk, Java, Haskell, Standard ML, OCaml;;Scala;Martin Odersky;;Scala_(programming_language);;;;
2003;squirrel;Lua;;Squirrel;Alberto Demichelis;;Squirrel_(programming_language);;;;
2003;angelscript;C++;;AngelScript;Andreas Jönsson;AngelCode;AngelScript;scripting, imperative, procedural, object-oriented;static, strong;;https://angelcode.com/angelscript/
2003;autohotkey;;;AutoHotkey;Chris Mallett;Open source;AutoHotkey;scripting;dynamic;;www.autohotkey.com
2003;cg;;;Cg;;nVidia, Microsoft;Cg_(programming_language);declarative, shader language;strong, static;;
2003;chuck;;;ChucK;Ge Wang, Perry R. Cook;Princeton University, Stanford University;ChucK;;;;
2003;gamemonkeyscript;;;GameMonkey Script;Greg Dumont, A. Smith;GameMonkey;GameMonkey_Script;scripting;dynamic;Embedded game scripting;github.com
2003;lc3;;;LC-3;Patt,Patel;University of Texas;Little_Computer_3;assembly;low-level;Computer architecture education;en.wikipedia.org
2003;lsl;;;LSL;Linden Lab;Linden Lab;Linden_Scripting_Language;event-driven;static;Second Life scripting;https://secondlife.com
2003;qpl;;;QPL;Peter Selinger;Dalhousie University;Quantum_programming;quantum;strong;Quantum computing theory;en.wikipedia.org_(programming_language)
2003;sawzall;;;Sawzall;Rob Pike;Google;Sawzall_(programming_language);parallel/scripting;static;Large log analysis;en.wikipedia.org_(programming_language)
2003;xl;;;XL;Christophe de Dinechin;Christophe de Dinechin;XL_(programming_language);conceptual;static;Meta-programming research;http://xl-lang.org
2004;alma0;;;Alma-0;Krzysztof Apt;Centrum Wiskunde & Informatica;Alma-0;;;;
2004;freebasic;QBasic;;FreeBASIC;Andre Victor;;;;;;
2004;groovy;Java;;Groovy;James Strachan;;Apache_Groovy;;;;
2004;littleb;Lisp;;Little b;Aneil Mallavarapu;Harvard Medical School;Little_b_(programming_language);;;;
2004;subtext;;;Subtext;Jonathan Edwards;;Subtext_(programming_language);;;;
2004;asharp;;;A# .NET;AdaCore , USFA;AdaCore;A_Sharp_(.NET);generic;strong, static;;www.adacore.com
2004;ats;;;ATS;Hongwei Xi;Boston University;ATS_(programming_language);imperative;dependent types;;www.ats-lang.org
2004;epigram;;;Epigram;Conor McBride;University of Nottingham;Epigram_(programming_language);functional (dependent);very strong;Formal verification/Research;http://www.e-pig.org
2004;hume;;;Hume;Hammond, Michaelson;St Andrews, Heriot-Watt;Hume_(programming_language);functional/real-time;strong;Embedded critical systems;http://www.hume-lang.org
2004;opengl;;;OpenGL Shading Language;Khronos Group;Khronos Group;OpenGL_Shading_Language;shader;static;OpenGL graphics shaders;www.khronos.org
2004;orc;;;Orc;Misra,Cook;University of Texas;Orc_(programming_language);orchestration;static;Coordinating web services;http://orc.csres.utexas.edu
2004;x10;;;X10;IBM Research;IBM Research;X10_(programming_language);parallel;static;Supercomputer high-performance computing;http://x10-lang.org
2005;fantom;C#, Scala, Ruby, Erlang;;Fantom;Brian Frank, Andy Frank;;Fantom_(programming_language);;;;
2005;fish;;;fish;Thomas Mertes;;Friendly_interactive_shell;;;;
2005;fsharp;OCaml, C#, Haskell;;F#;Don Syme;Microsoft;F_Sharp_(programming_language);;;;
2005;haxe;ActionScript, OCaml, Java;;Haxe;Nicolas Cannasse;;Haxe;;;;
2005;holyc;C, C++;;HolyC;Terry A. Davis;;TempleOS#HolyC;;;;
2005;oxygene;Object Pascal, C#;;Oxygene;RemObjects Software;;Oxygene_(programming_language);;;;
2005;pwct;;;PWCT;Mahmoud Samir Fayed;;PWCT;;;;
2005;seed7;;;Seed7;Thomas Mertes;;Seed7;;;;
2005;neko;;;Neko;Nicolas Cannasse;Motion Twin;Neko_(programming_language);intermediate (vm);dynamic;Runtime for Haxe;https://nekovm.org
2005;plexil;;;PLEXIL;NASA;NASA;PLEXIL;planning;static;Autonomous robot control;http://plexil.sourceforge.net
2005;ubercode;;;Ubercode;Ubercode Software;Ubercode Software;Ubercode;object-oriented/rad;static;Windows development;http://www.ubercode.com
2005;zonnon;;;Zonnon;ETH Zurich;ETH Zurich;Zonnon;modular;static;Oberon successor for .NET;http://www.zonnon.ethz.ch
2006;cobra;Python, C#, Eiffel, Objective-C;;Cobra;Chuck Esterbrook;;Cobra_(programming_language);;;;
2006;fortress;Scala, ML, Haskell;;Fortress;Guy L. Steele Jr.;;Fortress_(programming_language);;;;
2006;optimj;Java;;OptimJ;;Ateji;OptimJ;;;;
2006;vala;C#;;Vala;;GNOME;Vala_(programming_language);;;;
2006;windowspowershell;C#, ksh, Perl, CL, DCL, SQL;;Windows PowerShell;;Microsoft;;;;;
2006;ambienttalk;Smalltalk, Self, Scheme, E, ABCL;;AmbientTalk;Tom Van Cutsem, Stijn Mostinckx, Jessie Dedecker, Wolfgang De Meuter;University of Brussels;AmbientTalk;object-oriented, prototypebased, concurrent, eventdriven, reflective;dynamic, strong;;https://soft.vub.ac.be/amop
2006;hop;;;Hop;Manuel Serrano;INRIA;Hop_(software);multitier/functional;dynamic;Web programming (Scheme-based);http://hop.inria.fr
2006;newspeak;;;Newspeak;Gilad Bracha;Newspeak Team;Newspeak_(programming_language);modular/object-oriented;dynamic;Modularity research;http://newspeaklanguage.org
2006;notexactlyc;;;Not eXactly C;John Hansen;BricxCC;Not_eXactly_C;procedural (c-like);static;LEGO NXT robotics;bricxcc.sourceforge.net
2006;nxtg;;;NXT-G;LEGO,NI;LEGO,National Instruments;NXT-G;visual;graphical;LEGO Mindstorms programming;www.lego.com
2006;powershell;;;PowerShell;Jeffrey Snover;Microsoft;PowerShell;scripting/object-oriented;dynamic;System administration/Automation;learn.microsoft.com
2007;ada2005;Ada 95;;Ada 2005;;Ada Rapporteur Group;;;;;
2007;agda;Rocq, Epigram, Haskell;;Agda;Ulf Norell;;Agda_(programming_language);;;;
2007;clojure;Lisp, ML, Haskell, Erlang;;Clojure;Rich Hickey;;Clojure;;;;
2007;lolcode;;;LOLCODE;Adam Lindsay;;;;;;
2007;oberon07;Oberon;;Oberon-07;Niklaus Wirth;;;;;;
2007;qb64;QBasic;;QB64;Rob Galleon;QB64Team;;;;;
2007;swiftparallelscriptinglanguage;;;Swift (parallel scripting language);;University of Chicago;;;;;
2007;apex;;;Apex;Craig Weissman;Salesforce;Apex_(programming_language);imperative;strong, static;;developer.salesforce.com
2007;cython;;;Cython;Robert Bradshaw;Enthought,SAGE;Cython;multi-paradigm;static/dynamic;Python optimization;https://cython.org
2007;f;;;F*;Microsoft Research,INRIA;Microsoft Research,INRIA;F*_(programming_language);functional (dependent);very strong;Formal verification/Security;www.fstar.dev
2007;grasshopper;;;Grasshopper;David Rutten;McNeel & Associates;Grasshopper_3D;visual;dynamic;Parametric design (Rhino);https://www.grasshopper3d.com
2007;javafxscript;;;JavaFX Script;Chris Oliver;Sun Microsystems;JavaFX_Script;declarative/gui;static;Rich Internet Applications (deprecated);www.oracle.com
2007;linq;;;LINQ;Microsoft;Microsoft;LINQ;declarative;strong;Data querying in .NET;https://learn.microsoft.com
2007;nu;;;Nu;Tim Burks;Tim Burks;Nu_(programming_language);object-oriented (lisp-like);dynamic;macOS/iOS scripting;http://programming.nu
2007;ql;;;.QL;Semmle;GitHub,Semmle;.QL;declarative;static;Code security analysis;https://codeql.github.com
2007;qtscript;;;QtScript;Trolltech;Qt Group;QtScript;scripting;dynamic;Application scripting (Qt framework);https://doc.qt.io
2007;simpol;;;SIMPOL;Simpol Ltd;Simpol Limited;Superbase_database#History;object-oriented/db;static;Database application development;http://www.simpol.com
2007;xquery;;;XQuery;W3C;W3C;XQuery;functional;static;XML data querying;www.w3.org
2008;genie;Python, Boo, D, Object Pascal;;Genie;Jamie McCracken;;;;;;
2008;nim;Python, Lisp, Object Pascal;;Nim;Andreas Rumpf;;Nim_(programming_language);;;;
2008;pure;Q;;Pure;Albert Gräf;;Pure_(programming_language);;;;
2008;arc;;;Arc;Paul Graham;Y Combinator;Arc_(programming_language);;dynamic;;arclanguage.org
2008;egl;;;EGL;;IBM;EGL_(programming_language);business-oriented/4gl;strong;Enterprise app modernization;https://www.ibm.com
2008;mirah;;;Mirah;Charles Nutter;Community;Mirah_(programming_language);object-oriented;static;Ruby-like language for JVM;github.com
2008;pharo;;;Pharo;Inria;Inria,Pharo Board;Pharo;pure object-oriented;dynamic;Modern Smalltalk development;https://pharo.org
2008;portable;;;PortablE;Chris Handley;Chris Handley;Amiga_E#PortablE;multi-paradigm/amiga;static;Modern E language (Amiga);www.cshandley.co.uk
2008;processingjs;;;Processing.js;John Resig;Mozilla,jQuery;Processing.js;visual/scripting;dynamic;Web-based visual sketches;http://processingjs.org
2008;umple;;;Umple;Timothy Lethbridge;University of Ottawa;Umple;modeling/oo;strong;Model-driven development/UML;https://www.umple.org
2008;xc;;;XC;XMOS;XMOS;XC_(programming_language);concurrent;static;Embedded multicore development;https://www.xmos.ai
2008;yql;;;YQL;Yahoo!;Yahoo!;YQL_(programming_language);sql-like/api;dynamic;Web data aggregation;en.wikipedia.org
2009;chapel;HPF, ZPL;;Chapel;Brad Chamberlain;Cray Inc.;Chapel_(programming_language);;;;
2009;coffeescript;JavaScript, Ruby, Python, Haskell;;CoffeeScript;Jeremy Ashkenas;;CoffeeScript;;;;
2009;dafny;Java, Spec#;;Dafny;K. Rustan M. Leino;;;;;;
2009;go;C, Oberon, Limbo, Smalltalk;;Go;;Google;Go!_(programming_language);;;;
2009;idris;Haskell, Agda, Rocq;;Idris;Edwin Brady;;Idris_(programming_language);;;;
2009;parasail;Modula, Ada, Pascal, ML;;Parasail;S. Tucker Taft;AdaCore;ParaSail_(programming_language);;;;
2009;whiley;Java, C, Python;;Whiley;David J. Pearce;;Whiley_(programming_language);;;;
2009;axum;;;Axum;Microsoft;Microsoft;Axum_(programming_language);actor;static;;
2009;dax;;;DAX;Marco Russo;Microsoft;Data_analysis_expressions;functional (tabular);strong;Business Intelligence (Power BI);learn.microsoft.com
2009;googleappsscript;;;Google Apps Script;;Google;Google_Apps_Script;scripting (js);dynamic;Google Workspace automation;developers.google.com
2009;kodu;;;Kodu;;Microsoft;Kodu_Game_Lab;visual/game-based;dynamic;Game creation for children;https://www.kodugamelab.com
2009;kv;;;Kv;Kivy Team;Kivy Organization;Kivy_(framework)#Kv_language;declarative (gui);dynamic;UI design for Kivy/Python;kivy.org
2009;opencl;;;OpenCL;Apple,Khronos Group;Khronos Group;OpenCL;parallel;static;GPGPU computing;www.khronos.org
2009;scriptnet;;;Script.NET;Petr Onderka;Petr Onderka;Script.NET;scripting;dynamic;.NET application extensibility;github.com
2010;rust;Alef, C++, Camlp4, Erlang, Hermes, Limbo, Napier, Napier88, Newsqueak, NIL, Sather, Standard ML;;Rust;Graydon Hoare;Mozilla;Rust_(programming_language);;;;
2010;catrobat;;;Catrobat;Wolfgang Slany;Graz University of Technology;Catrobat;;;;
2010;kojo;;;Kojo;Lalit Pant;Kogics;Kojo_(programming_language);educational/scala;static;Teaching math and programming;www.kogics.net
2011;c11;C99;;C11;;C11 ISO,IEC 9899:2011;;;;;
2011;ceylon;Java;;Ceylon;Gavin King;Red Hat;Ceylon_(programming_language);;;;
2011;dart;Java, JavaScript, CoffeeScript, Go;;Dart;;Google;Dart_(programming_language);;;;
2011;kotlin;Java, Scala, Groovy, C#, Gosu;;Kotlin;;JetBrains;Kotlin_(programming_language);;;;
2011;opa;OCaml, Erlang, JavaScript;;Opa;;MLstate;Opa_(programming_language);;;;
2011;red;Rebol, Scala, Lua;;Red;Nenad Rakočević;;Red_(programming_language);;;;
2011;cypherquerylanguage;;;Cypher Query Language;;Neo4j;Cypher_Query_Language;declarative;graph-based;Graph database queries;https://opencypher.org
2011;dog;;;Dog;;Morgan-Knapp LLC;Dog_(programming_language);object-oriented;dynamic;Education/IoT;http://dog-lang.org
2011;snap;;;Snap!;Jens Monig;UC Berkeley;Snap!_(programming_language);visual/block-based;dynamic;Education (successor to BYOB);https://snap.berkeley.edu
2011;xtend;;;Xtend;Eclipse Foundation;Eclipse Foundation;Xtend;object-oriented;static;Modern Java syntax extension;www.eclipse.org
2012;ada2012;Ada 2005;;Ada 2012;;ARA, Ada Europe;;;;;
2012;elixir;Erlang, Ruby, Clojure;;Elixir;José Valim;;Elixir_(programming_language);;;;
2012;elm;Haskell, Standard ML, OCaml, F#;;Elm;Evan Czaplicki;;Elm_(programming_language);;;;
2012;julia;MATLAB, Lisp, C, Fortran, Wolfram, Python, Perl, R, Ruby, Lua;;Julia;Jeff Bezanson, Stefan Karpinski, Viral Shah, Alan Edelman;MIT;Julia_(programming_language);;;;
2012;p;;;P;Vivek Gupta, Ethan Jackson, Shaz Qadeer, Sriram Rajamani;Microsoft;P%E2%80%B2%E2%80%B2;;;;
2012;p4;;;P4;;P4 Language Consortium;P4_(programming_language);;;;
2012;typescript;JavaScript, CoffeeScript;;TypeScript;Anders Hejlsberg;Microsoft;TypeScript;;;;
2012;blockly;;;Blockly;Neil Fraser, Quynh Neutron, Ellen Spertus, Mark Friedman;Google (now Raspberry Pi Foundation);Blockly;visual, block-based, event-driven;dynamic;;developers.google.com
2012;cu;;;Céu;Francisco Sant'Anna;PUC-Rio;C%C3%A9u_(programming_language);reactive;static;Embedded systems;http://www.ceu-lang.org
2012;ezhil;;;Ezhil;Muthiah Annamalai;Tamil Virtual Academy;Ezhil_(programming_language);procedural;dynamic;Education in Tamil language;ezhil.sourceforge.net
2012;golo;;;Golo;Julien Ponge;INSA Lyon;Golo_(programming_language);functional/object-oriented;dynamic;Lightweight language for JVM;https://golo-lang.org
2012;halide;;;Halide;;MIT, Adobe;Halide_(programming_language);domain-specific (dsp);static;Image processing/GPU;https://halide-lang.org
2012;jq;;;jq;Stephen Dolan;Stephen Dolan;Jq_(programming_language);functional/domain-specific;dynamic;JSON data transformation;jqlang.github.io
2012;qalb;;;Qalb;Ramsey Nasser;Ramsey Nasser;Qalb_(programming_language);functional;dynamic;Arabic calligraphy programming;nas.sr
2012;tynker;;;Tynker;Krishna Vedati;Tynker;Tynker;visual/block-based;untyped;Education/Game logic;https://www.tynker.com
2013;cuneiform;Swift (the parallel scripting language);;Cuneiform;Jörgen Brandt;;Cuneiform_(programming_language);;;;
