year;id;extends;predecessors;name;developers;companies;wiki;paradigm;;;
1964;compass;;;COMPASS;;Control Data Corp;COMPASS;assembly;low-level;CDC 6000 systems;https://computerhistory.org
1964;ibmbasicassemblylanguage;;;IBM Basic assembly language;;IBM;IBM_Basic_assembly_language;assembly;untyped;Mainframe System/360 programming;https://www.ibm.com
1964;jcl;;;JCL;;IBM;Job_Control_Language;scripting (job control);untyped;Mainframe workload management;https://www.ibm.com
1964;klerermaysystem;;;Klerer-May System;Klerer,May;Columbia University;Klerer-May_System;mathematical;untyped;Natural mathematical notation;
1964;lyapas;;;LYaPAS;A. D. Zakrevskii;USSR Academy of Sciences;LYaPAS;logical;untyped;Logic synthesis/Computing;en.wikipedia.org
1965;atlasautocode;ALGOL 60, Autocode;;Atlas Autocode;Tony Brooker, Derrick Morris;Manchester University;;;;;
1965;madi;MAD, ALGOL 60, PL/I;;MAD/I;;University of Michigan;;;;;
1965;rpgii;FARGO, RPG;;RPG II;;IBM;;;;;
1965;telcomp;JOSS;;TELCOMP;;BBN;TELCOMP;;;;
1965;mohol;;;Mohol;NASA;NASA (Goddard);Mohol_programming_languages;procedural;static;Early orbital mechanics;en.wikipedia.org
1966;algolw;ALGOL 60;;ALGOL W;Niklaus Wirth, C. A. R. Hoare;;ALGOL_W;;;;
1966;coral66;ALGOL 60;;CORAL 66;I. F. Currie, M. Griffiths;;;;;;
1966;fortran66;FORTRAN IV;;FORTRAN 66;John Backus;;;;;;
1966;iswim;LISP;;ISWIM;Peter J. Landin;;;;;;
1966;jossii;JOSS I;;JOSS II;Chuck Baker;RAND;;;;;
1966;cmsexec;;;CMS EXEC;Stuart Madnick;IBM,MIT;CMS_EXEC;scripting;dynamic;Batch processing (VM/CMS);https://www.ibm.com
1966;coral;;;CORAL;;RRE UK MOD;CORAL;procedural;static;Real-time systems;
1966;euler;;;Euler;Niklaus Wirth, Helmut Weber;ETH Zurich;Euler_(programming_language);algol extension;dynamic;Research/Education;
1966;jean;;;JEAN;;International Computers and Tabulators;JEAN;interactive;dynamic;General purpose (ICT 1900);
1966;sabretalk;;;SabreTalk;IBM;IBM,American Airlines;SabreTalk;procedural;static;Sabre airline reservation system;en.wikipedia.org
1967;bcpl;CPL;;BCPL;Martin Richards;;BCPL;;;;
1967;exapt;APT;;EXAPT;Herwart Opitz, Wilhelm Simon, Günter Spur, Gottfried Stute;RWTH Aachen University and TU Berlin;;;;;
1967;interlisp;Lisp;;Interlisp;D.G. Bobrow and D.L. Murphy;;;;;;
1967;mumps;FORTRAN, TELCOMP;;MUMPS;;Massachusetts General Hospital;MUMPS;;;;
